"","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","condition","grade","sqft_above","sqft_basement","yr_built","zipcode"
"1",221900,3,1,1180,5650,1,3,7,1180,0,1955,98178
"2",538000,3,2.25,2570,7242,2,3,7,2170,400,1951,98125
"3",180000,2,1,770,10000,1,3,6,770,0,1933,98028
"4",604000,4,3,1960,5000,1,5,7,1050,910,1965,98136
"5",510000,3,2,1680,8080,1,3,8,1680,0,1987,98074
"6",1230000,4,4.5,5420,101930,1,3,11,3890,1530,2001,98053
"7",257500,3,2.25,1715,6819,2,3,7,1715,0,1995,98003
"8",291850,3,1.5,1060,9711,1,3,7,1060,0,1963,98198
"9",229500,3,1,1780,7470,1,3,7,1050,730,1960,98146
"10",323000,3,2.5,1890,6560,2,3,7,1890,0,2003,98038
"11",662500,3,2.5,3560,9796,1,3,8,1860,1700,1965,98007
"12",468000,2,1,1160,6000,1,4,7,860,300,1942,98115
"13",310000,3,1,1430,19901,1.5,4,7,1430,0,1927,98028
"14",4e+05,3,1.75,1370,9680,1,4,7,1370,0,1977,98074
"15",530000,5,2,1810,4850,1.5,3,7,1810,0,1900,98107
"16",650000,4,3,2950,5000,2,3,9,1980,970,1979,98126
"17",395000,3,2,1890,14040,2,3,7,1890,0,1994,98019
"18",485000,4,1,1600,4300,1.5,4,7,1600,0,1916,98103
"19",189000,2,1,1200,9850,1,4,7,1200,0,1921,98002
"20",230000,3,1,1250,9774,1,4,7,1250,0,1969,98003
"21",385000,4,1.75,1620,4980,1,4,7,860,760,1947,98133
"22",2e+06,3,2.75,3050,44867,1,3,9,2330,720,1968,98040
"23",285000,5,2.5,2270,6300,2,3,8,2270,0,1995,98092
"24",252700,2,1.5,1070,9643,1,3,7,1070,0,1985,98030
"25",329000,3,2.25,2450,6500,2,4,8,2450,0,1985,98030
"26",233000,3,2,1710,4697,1.5,5,6,1710,0,1941,98002
"27",937000,3,1.75,2450,2691,2,3,8,1750,700,1915,98119
"28",667000,3,1,1400,1581,1.5,5,8,1400,0,1909,98112
"29",438000,3,1.75,1520,6380,1,3,7,790,730,1948,98115
"30",719000,4,2.5,2570,7173,2,3,8,2570,0,2005,98052
"31",580500,3,2.5,2320,3980,2,3,8,2320,0,2003,98027
"32",280000,2,1.5,1190,1265,3,3,7,1190,0,2005,98133
"33",687500,4,1.75,2330,5000,1.5,4,7,1510,820,1929,98117
